Word,Meaning
partisan,"Devoted to a particular group, cause, etc.
(adj.); fervent supporter of a group, party, idea,
etc.; guerilla fighter (noun"
pastiche,"Mix of incongruous parts; artistic work
imitating the work of other artists, often
satirically"
pedant,"Person who pays excessive attention to book
learning and rules, or who uses his or her
learning to show off"
peddle,"Travel around while selling; sell illegally; give
out or disseminate"
per se,Intrinsically; by itself; in itself
peregrinate,"Travel from place to place, esp. on foot"
peripatetic,"Journeying from place to place; traveling on
foot"
phalanx,"Formation of soldiers carrying shields close
together for defense; any very close group of
people"
philanthropy,"Efforts to improve the well-being of
humankind, generally through giving
money"
philistine,Person deficient in or hostile to culture
phony,"Fake, counterfeit; insincere, not genuine"
pious,Devout; religiously reverent and dutiful
plebian,Of the common people
plucky,"Brave, spirited"
plutocracy,Rule by the wealthy
